REGIAO:;SE
UF:;SP
ESTACAO:;PRESIDENTE PRUDENTE
CODIGO (WMO):;A707
LATITUDE:;-22,11999999
LONGITUDE:;-51,40861111
ALTITUDE:;431,92
DATA DE FUNDACAO:;04/02/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;963;963,1;962,1;;25,2;20,4;26;25,2;20,4;19,9;75;69;75;78;4,7;1,4;
2023/01/01;0100 UTC;0;963,4;963,4;962,9;;24,6;21,3;25,2;24,5;21,3;20,4;82;75;82;64;3,5;1,3;
2023/01/01;0200 UTC;0;963,5;963,7;963,3;;24,3;21,2;24,7;24,3;21,3;21;83;80;83;61;2,8;1,2;
2023/01/01;0300 UTC;0;963,6;963,6;963,4;;24,2;21;24,3;24,1;21,3;20,8;83;81;82;56;2,5;1,2;
2023/01/01;0400 UTC;0;963,2;963,6;963,2;;23,9;20,8;24,3;23,9;21;20,7;83;82;83;56;3,9;1,7;
2023/01/01;0500 UTC;0;962,5;963,2;962,5;;23,7;21;23,9;23,5;21;20,7;85;83;85;41;3,5;1,1;
2023/01/01;0600 UTC;0;962;962,5;962;;23,3;23,1;23,7;23,3;23,1;20,8;99;85;99;83;2,8;,8;
2023/01/01;0700 UTC;0;962;962;961,9;;23,1;23,1;23,3;23;23,2;23;100;99;100;78;3,2;,8;
2023/01/01;0800 UTC;0;962,2;962,2;962;;22,8;22,8;23,1;22,8;23,1;22,8;100;100;100;75;3,1;,9;
2023/01/01;0900 UTC;0;963;963;962,2;2,3;22,6;;22,9;22,3;;;;;;45;2,5;,9;
2023/01/01;1000 UTC;0;963,6;963,6;963;148,7;23,7;23,7;23,7;22,6;;;;;100;56;2,8;,7;
2023/01/01;1100 UTC;0;964,2;964,2;963,5;280,5;25,1;21,3;25,1;23,7;23,8;20,8;100;78;80;50;3,4;,9;
2023/01/01;1200 UTC;0;964,6;964,6;964,2;243,5;27;20,7;27,1;25;21,6;20,7;80;68;69;70;3,5;,9;
2023/01/01;1300 UTC;0;964,6;964,7;964,5;1055,2;28,5;20,2;28,9;26,8;21,1;19,1;69;58;61;47;4,3;,9;
2023/01/01;1400 UTC;0;964,4;964,6;964,4;1940;29,7;19,9;29,7;28,3;20,7;19;62;54;56;51;6,1;1,1;
2023/01/01;1500 UTC;0;964;964,4;963,9;3624;30,4;19,4;30,7;29,2;20,8;19;59;52;52;13;4,9;1,8;
2023/01/01;1600 UTC;0;963,1;964;963,1;3544,4;31,2;19,4;31,7;29,9;21,4;18,5;57;46;50;14;5,5;1,9;
2023/01/01;1700 UTC;0;961,8;963,1;961,8;3604,9;31,8;18,9;32,1;30,9;20,5;18;53;44;46;34;5,9;1,3;
2023/01/01;1800 UTC;0;961;961,8;961;3390,5;32,7;18,5;33,7;31,5;20,3;17,9;49;40;43;14;5,4;,8;
2023/01/01;1900 UTC;0;960,5;961;960,4;957,9;31,1;19,3;32,8;31;19,7;17,1;51;41;50;26;4,6;,6;
2023/01/01;2000 UTC;0;960,5;960,8;960,3;513,3;28;20,7;31,4;28;20,7;18,8;65;48;65;92;5,6;1,8;
2023/01/01;2100 UTC;0;959,9;960,5;959,8;305,9;29,1;20;29,1;27,7;21;19,9;66;58;58;76;5,6;,9;
2023/01/01;2200 UTC;0;960,1;960,1;959,6;330;28,2;18,1;29,4;28,2;20;17,7;58;52;54;68;3,2;1,1;
2023/01/01;2300 UTC;0;961,1;961,1;960,1;7,4;27,1;19,7;28,2;27;19,8;18;65;54;64;45;3,9;,9;
2023/01/02;0000 UTC;0;961,6;961,6;961,1;;26,4;18,3;27,2;26,4;19,6;18,3;64;61;61;87;6;,5;
2023/01/02;0100 UTC;0;962,4;962,4;961,6;;26,2;18,2;26,5;25,9;18,5;17,8;64;59;61;84;1,8;,7;
2023/01/02;0200 UTC;0;962,2;962,5;962,1;;25,1;18,6;26,5;25,1;18,6;18,1;67;61;67;65;2,4;,9;
2023/01/02;0300 UTC;0;962,1;962,3;962;;24,8;19,2;25,3;24,8;19,2;18,4;71;66;71;81;2,8;,8;
2023/01/02;0400 UTC;0;961,5;962,1;961,5;;24,8;18,5;25,2;24,7;19,2;18,4;71;67;68;105;2,8;,5;
2023/01/02;0500 UTC;0;961;961,7;960,9;;24,1;18,6;24,9;24,1;18,7;18,4;72;68;72;20;3,1;,8;
2023/01/02;0600 UTC;0;960,9;961;960,7;;23,8;18,8;24,1;23,4;18,9;18,6;76;72;74;37;1,7;,4;
2023/01/02;0700 UTC;0;961;961,3;960,9;;24,2;19,2;24,4;23,7;19,2;18,8;74;72;74;49;1,9;,7;
2023/01/02;0800 UTC;0;961,6;961,6;960,9;;23,8;19,3;24,3;23,8;19,3;19,1;76;73;76;115;2,8;1,2;
2023/01/02;0900 UTC;0;961,9;961,9;961,5;2,8;23,5;19,7;23,8;23,4;19,7;19,3;79;76;79;113;2,9;,9;
2023/01/02;1000 UTC;0;962,2;962,2;961,8;169,5;24,4;19,9;24,4;23,5;20;19,7;79;75;76;95;2,9;,9;
2023/01/02;1100 UTC;0;962,7;962,8;962,2;399,3;25,6;20,4;25,6;24,4;20,4;19,7;76;72;73;59;2,9;,8;
2023/01/02;1200 UTC;0;962,4;962,8;962,4;632;27,4;20,9;27,4;25,4;20,9;20;73;67;68;43;2,8;,9;
2023/01/02;1300 UTC;0;962,4;962,4;962,3;1205,5;27,7;21;28,1;27,3;21,6;20,1;68;63;67;42;4,5;1,2;
2023/01/02;1400 UTC;0;961,7;962,4;961,7;1676;29,3;21,5;29,3;27,6;22,1;20,8;69;62;63;49;4,5;1;
2023/01/02;1500 UTC;0;960,8;961,7;960,8;2446,8;30,6;21,3;30,6;29;22,2;20,4;64;57;58;42;5,3;1,1;
2023/01/02;1600 UTC;0;959,3;960,8;959,3;1612,1;30,5;20,8;30,9;30,1;21,9;20,1;61;54;56;49;5,8;1,5;
2023/01/02;1700 UTC;0;958;959,3;958;1271,3;30,4;20,4;31,2;30,3;21,3;20;58;53;55;40;5,3;1;
2023/01/02;1800 UTC;40,6;960,1;961,3;957,8;85,3;20;;30,6;19,4;;;;;;227;17;4,5;
2023/01/02;1900 UTC;1,4;961,1;961,2;959,8;22,3;20,5;;20,8;20;;;;;;258;11;3,5;
2023/01/02;2000 UTC;3,4;959,7;961,1;959,7;26,7;20,2;;20,5;20,1;;;;;;172;7,8;,5;
2023/01/02;2100 UTC;1,6;958,8;959,7;958,8;43,6;20,7;;20,7;20,2;;;;;;110;3,7;,9;
2023/01/02;2200 UTC;,2;958,9;959;958,7;48,3;20,8;;20,9;20,7;;;;;;79;2,8;,8;
2023/01/02;2300 UTC;0;960,1;960,1;958,9;2,6;20,7;;21;20,7;;;;;;68;2,8;,6;
2023/01/03;0000 UTC;0;960,5;960,5;960,1;;20,7;;20,9;20,7;;;;;;79;1,9;,6;
2023/01/03;0100 UTC;0;961;961;960,5;;20,7;;20,7;20,5;;;;;;350;2;,9;
2023/01/03;0200 UTC;0;960,9;961,2;960,9;,4;20,6;;20,7;20,6;;;;;;34;2,9;,9;
2023/01/03;0300 UTC;0;960,3;960,9;960,3;;20,3;;20,6;20,3;;;;;;317;1,9;,7;
2023/01/03;0400 UTC;0;959,4;960,3;959,4;;20,2;;20,4;20;;;;;;8;1,6;,6;
2023/01/03;0500 UTC;,2;958,4;959,4;958,4;;20;;20,3;20;;;;;;26;1,3;,5;
2023/01/03;0600 UTC;0;958,4;958,4;958;;20,1;;20,2;19,9;;;;;;2;3;1,4;
2023/01/03;0700 UTC;0;958,5;958,7;958,4;;20,1;;20,2;20;;;;;;15;3,8;1,1;
2023/01/03;0800 UTC;0;959,4;959,4;958,5;;19,9;;20,1;19,9;;;;;;15;3;1;
2023/01/03;0900 UTC;0;960,5;960,5;959,4;,6;20,3;;20,3;19,9;;;;;;328;5,6;1,1;
2023/01/03;1000 UTC;0;961,1;961,1;960,4;86,4;20,7;;20,8;20,3;;;;;;337;3,3;1,2;
2023/01/03;1100 UTC;0;961,5;961,5;961,1;398,9;21,9;21,9;22;20,7;;;;;100;23;2,5;,8;
2023/01/03;1200 UTC;0;961,9;961,9;961,5;582,7;24;22,2;24,3;21,8;23,7;21,2;100;85;90;345;3,6;1,4;
2023/01/03;1300 UTC;0;962,2;962,2;961,9;1241,9;25,5;21,7;25,6;23,8;23,1;20,6;90;76;80;264;3,9;1,3;
2023/01/03;1400 UTC;0;961,8;962,1;961,8;1199,4;26,1;20,7;26,4;25;23,7;20,2;90;70;72;314;4,3;1,2;
2023/01/03;1500 UTC;0;961,4;961,8;961,4;1258,8;26;20,5;27,1;26;21,5;19,8;74;67;71;8;4,9;1,6;
2023/01/03;1600 UTC;0;960,4;961,4;960,4;1568,3;25,6;20,9;27,2;24,8;22,3;19,7;78;69;75;13;5,5;1,4;
2023/01/03;1700 UTC;,4;959,5;960,4;959,5;890;23,2;20;26,3;23,2;21,6;19,6;82;69;82;314;6,5;2;
2023/01/03;1800 UTC;0;958,2;959,6;958,2;1581,7;26,7;19,8;27,2;23,2;23,2;19,8;97;66;66;313;5,9;1;
2023/01/03;1900 UTC;0;957,1;958,2;957,1;1756,5;27,8;20,7;28,8;26,6;21,1;19,9;70;61;65;285;3;1,3;
2023/01/03;2000 UTC;0;956,5;957,1;956,5;1592,3;29,6;20,5;29,6;27,5;21,4;20;68;57;58;244;2,8;,8;
2023/01/03;2100 UTC;0;956,7;956,7;956,5;682,3;27,8;20,4;29,9;27,6;20,9;19,7;67;56;64;214;2,8;,6;
2023/01/03;2200 UTC;0;957,5;957,5;956,7;237,7;27;20,5;27,8;27;21;20,3;68;64;67;115;3;,6;
2023/01/03;2300 UTC;0;958,1;958,1;957,4;1,1;26,4;20,7;27;26,2;20,7;20,3;71;67;71;93;2,3;,6;
2023/01/04;0000 UTC;0;958,9;958,9;958,2;;22,7;18,8;26,4;22,6;20,8;17,7;79;66;79;80;6,5;,5;
2023/01/04;0100 UTC;13,2;960,6;960,8;958,9;;20,8;;23,3;20,5;;;;;;16;9,8;1,1;
2023/01/04;0200 UTC;3,4;960,9;960,9;960,5;;20,8;;21,1;20,7;;;;;;31;5;1,5;
2023/01/04;0300 UTC;4;959,5;960,9;959,5;;20,9;;20,9;20,7;;;;;;34;5;1;
2023/01/04;0400 UTC;0;958,8;959,5;958,8;;20,7;;21;20,7;;;;;;30;3,6;1,5;
2023/01/04;0500 UTC;0;958,2;958,8;958,2;0;20,9;;20,9;20,7;;;;;;28;4,1;1,9;
2023/01/04;0600 UTC;1;958,1;958,2;957,9;;21,1;;21,1;20,8;;;;;;16;5,1;2,3;
2023/01/04;0700 UTC;10,4;958;958,1;957,8;;21,1;;21,2;21;;;;;;;;;
2023/01/04;0800 UTC;15,4;958,2;958,3;957,9;;21,1;;21,2;21,1;;;;;;;;;
2023/01/04;0900 UTC;2,6;958,4;958,4;958,1;,8;21;;21,1;20,9;;;;;;;;;
2023/01/04;1000 UTC;3,6;958,9;958,9;958,4;30,3;21,4;;21,4;21,1;;;;;;358;;2,6;
2023/01/04;1100 UTC;4;959,5;959,5;958,9;115,6;21,5;;21,6;21,4;;;;;;348;6,8;2,1;
2023/01/04;1200 UTC;6,6;959,6;959,6;959,4;256,6;22,1;;22,1;21,5;;;;;;;;;
2023/01/04;1300 UTC;1;959,8;959,8;959,5;477,1;22,7;;22,7;22;;;;;;;;;
2023/01/04;1400 UTC;14,6;959,8;960;959,6;212,5;21,5;;22,8;21,5;;;;;;276;5,1;2;
2023/01/04;1500 UTC;4,2;959,5;959,8;959,2;403,3;22,3;;22,3;21,4;;;;;;;;;
2023/01/04;1600 UTC;,2;958,8;959,5;958,8;1389,9;24,1;;24,2;22,3;;;;;;355;;5,5;
2023/01/04;1700 UTC;4,4;958,6;958,9;958,6;766,5;21,8;;24,1;21,8;;;;;;321;9,4;2,3;
2023/01/04;1800 UTC;0;958,1;958,6;958,1;1202,3;23,3;23,3;23,3;21,8;;;;;100;310;9,4;1,6;
2023/01/04;1900 UTC;0;957,4;958,1;957,4;939,7;24,4;23,7;24,4;23,3;24,1;23,1;100;94;96;278;5,3;2,6;
2023/01/04;2000 UTC;0;956,9;957,4;956,8;1047,5;24,8;23,7;25,3;24,4;24,6;23,3;97;92;93;275;5,3;2,6;
2023/01/04;2100 UTC;0;956,9;956,9;956,7;405,2;24,5;23,9;24,8;24,5;24;23,6;96;93;96;276;5;2,4;
2023/01/04;2200 UTC;5,8;958,3;958,3;956,8;89,5;21,7;;24,6;21,6;;;;;;218;9,6;1,7;
2023/01/04;2300 UTC;0;958,3;958,5;958,3;1,4;21,3;;21,7;21,3;;;;;;151;5,4;2,2;
2023/01/05;0000 UTC;0;959,3;959,3;958,3;;21,3;;21,3;21,1;;;;;;198;5,2;,9;
2023/01/05;0100 UTC;0;960,1;960,1;959,3;;21,1;;21,3;21,1;;;;;;145;5,3;1,9;
2023/01/05;0200 UTC;0;960,7;960,7;960,1;;21;;21,2;21;;;;;;133;5,5;1,5;
2023/01/05;0300 UTC;,4;960,6;960,8;960,6;;20,1;;21;20,1;;;;;;134;5,6;2,2;
2023/01/05;0400 UTC;,2;960,3;960,6;960,2;;19,3;;20,1;19,3;;;;;;131;6,7;1,5;
2023/01/05;0500 UTC;0;960,1;960,3;960,1;;18,8;;19,3;18,8;;;;;;123;6,7;2,4;
2023/01/05;0600 UTC;0;959,8;960,2;959,7;;19;;19,1;18,8;;;;;;131;7,3;2,3;
2023/01/05;0700 UTC;0;959,5;959,8;959,5;0;18,8;;19;18,8;;;;;;135;7,4;2,3;
2023/01/05;0800 UTC;0;959,4;959,5;959,3;;18,8;18,8;18,8;18,8;18,8;18,8;100;100;100;115;10,4;2,3;
2023/01/05;0900 UTC;0;960,1;960,1;959,4;,2;18,6;18,6;18,8;18,6;18,8;18,6;100;100;100;115;7,2;2,2;
2023/01/05;1000 UTC;0;961;961;960,1;90,2;19;18,9;19;18,6;19;18,6;100;99;99;104;6,4;2,2;
2023/01/05;1100 UTC;0;961,5;961,5;961;334,2;19,8;19,4;19,8;19;19,4;18,9;100;98;98;100;7,4;2,1;
2023/01/05;1200 UTC;0;962;962,1;961,5;735,2;20,1;19,2;20,5;19,7;20;19;98;93;95;100;7,4;2,7;
2023/01/05;1300 UTC;0;962,6;962,7;962;865,4;19,9;19,9;20,4;19,9;20,4;19,3;100;95;100;99;7,3;2,2;
2023/01/05;1400 UTC;0;962,9;963,1;962,6;784,2;20,6;20,4;20,7;19,8;20,5;19,8;100;98;98;119;7;2,1;
2023/01/05;1500 UTC;0;962,7;963;962,7;1746,9;22,9;18;23;20,4;21,9;18;100;74;74;103;7,1;2,7;
2023/01/05;1600 UTC;0;962,6;962,9;962,5;1689,5;22,7;17,4;22,9;21,4;18,1;17,1;79;72;72;89;7,2;1,9;
2023/01/05;1700 UTC;0;962,2;962,6;962,1;1285,1;22,8;17,5;23,8;22,5;18,7;17,2;75;69;72;109;6,9;2;
2023/01/05;1800 UTC;0;961,9;962,3;961,9;545,2;22,1;17,2;22,8;22,1;17,9;17,2;75;72;74;124;6,6;2,9;
2023/01/05;1900 UTC;0;961,4;961,9;961,4;634,5;21,7;17,9;22,7;21,6;18;17,3;80;73;79;127;7,1;2,5;
2023/01/05;2000 UTC;0;961,1;961,4;961;501,3;22,1;17,5;22,5;21,3;18,3;17,4;80;75;75;122;8,3;2,5;
2023/01/05;2100 UTC;0;961,4;961,4;961;400,8;22;16,9;22,3;22;17,7;16,6;76;71;72;110;6,9;2,2;
2023/01/05;2200 UTC;0;962,1;962,1;961,4;220,6;21,3;16,3;22,1;21,3;16,9;16,2;73;71;73;119;7;2,5;
2023/01/05;2300 UTC;0;962,5;962,5;962,1;11,9;21;16,7;21,3;21;16,7;16,3;76;73;76;108;7,3;1,9;
2023/01/06;0000 UTC;0;963,2;963,2;962,5;;20,6;16,4;21;20,6;16,8;16,4;78;76;77;88;6,3;1,4;
2023/01/06;0100 UTC;0;963,6;963,7;963,2;;20,6;15,9;20,6;20,5;16,4;15,9;77;74;75;97;7;1,7;
2023/01/06;0200 UTC;0;963,9;963,9;963,6;;20,3;15,3;20,6;20,3;15,9;15,3;75;72;73;97;6,5;2,3;
2023/01/06;0300 UTC;0;963,6;963,9;963,6;;19,6;15,4;20,3;19,6;15,4;15,3;77;73;77;99;6,3;1,8;
2023/01/06;0400 UTC;0;963,2;963,6;963,2;;19,4;15,2;19,6;19,3;15,6;15,2;79;77;77;101;6,7;1,8;
2023/01/06;0500 UTC;0;962,8;963,2;962,8;;19,3;15,1;19,6;19,3;15,2;15,1;77;75;77;97;7,5;2,3;
2023/01/06;0600 UTC;0;962,5;962,8;962,5;;18,9;15,1;19,3;18,9;15,1;15;78;77;78;100;6,8;1,9;
2023/01/06;0700 UTC;0;962,5;962,6;962,5;;19,2;15,1;19,2;18,9;15,2;15,1;78;77;77;101;6,6;2;
2023/01/06;0800 UTC;0;962,5;962,6;962,5;;19,2;15,1;19,3;19,2;15,2;15,1;77;77;77;102;5,8;2,1;
2023/01/06;0900 UTC;0;962,8;962,8;962,5;1,1;19;14,8;19,2;18,9;15,1;14,7;78;76;77;94;8,2;2;
2023/01/06;1000 UTC;0;963,4;963,4;962,8;118,6;19,5;14,6;19,5;19;14,8;14,6;77;74;74;99;7,8;2,4;
2023/01/06;1100 UTC;0;964,2;964,3;963,4;241,2;20,7;14,6;20,9;19,5;14,9;14,2;74;67;68;104;8,3;2,8;
2023/01/06;1200 UTC;0;964,6;964,7;964,2;244,7;22,2;13,9;22,2;20,7;15,2;13,9;68;59;60;93;9,2;2,9;
2023/01/06;1300 UTC;0;964,8;964,9;964,6;947,7;24,2;14,9;24,2;22,2;15,4;13,9;61;55;56;84;7,9;2,1;
2023/01/06;1400 UTC;0;964,8;964,9;964,7;1808;24,6;14,8;25,1;23,9;15,4;14,1;56;53;55;93;8,2;2;
2023/01/06;1500 UTC;0;964,5;964,8;964,4;1956,3;25,4;15,2;25,7;24,6;15,9;14,5;57;52;53;79;7,4;1,2;
2023/01/06;1600 UTC;0;963,9;964,5;963,8;1881,3;25,7;15,6;26,3;25,3;16,6;15;56;52;54;96;6,4;1,9;
2023/01/06;1700 UTC;0;963,2;963,9;963,2;1900,6;26;15,9;26,9;25,6;17,2;15,4;57;52;54;94;6,4;1,9;
2023/01/06;1800 UTC;0;962,7;963,2;962,7;2431,7;26,4;16,4;27,5;26;17,3;16;56;51;54;101;7,1;2,5;
2023/01/06;1900 UTC;0;962,2;962,7;962,1;2091,8;26,4;16,4;27,3;26,2;17,2;16;57;52;54;123;8,2;3,2;
2023/01/06;2000 UTC;0;962,1;962,2;962;1058,6;26;16,4;26,9;26;17,2;16,3;57;53;55;114;8,2;2,7;
