REGIAO:;S
UF:;SC
ESTACAO:;CURITIBANOS
CODIGO (WMO):;A860
LATITUDE:;-27,2886111
LONGITUDE:;-50,60416666
ALTITUDE:;978,1
DATA DE FUNDACAO:;28/02/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;905,3;905,3;904,7;;21,2;16,2;22,5;21,2;16,3;15,6;73;65;73;88;6,3;3,4;
2023/01/01;0100 UTC;0;905,7;905,8;905,3;;20,5;16,8;21,5;20,5;16,8;16,2;79;72;79;84;8,3;4,1;
2023/01/01;0200 UTC;0;905,9;906,1;905,7;;19,7;17;20,6;19,7;17;16,8;85;79;85;76;8;3,8;
2023/01/01;0300 UTC;0;906;906,1;905,9;;19,2;16,7;19,7;19,2;17,2;16,7;87;85;85;74;8,7;4,6;
2023/01/01;0400 UTC;0;905,8;906;905,8;;18,8;15,8;19,2;18,8;16,6;15,8;86;83;83;75;10;5,5;
2023/01/01;0500 UTC;0;905,8;905,9;905,7;;18,1;15,6;18,8;18,1;15,8;15,6;85;82;85;77;10,3;4;
2023/01/01;0600 UTC;0;905,7;905,8;905,6;;17,3;15,5;18,2;17,3;15,6;15,5;89;85;89;72;7,9;1,1;
2023/01/01;0700 UTC;0;905,7;905,8;905,6;;16,9;15,5;17,3;16,6;15,6;15,1;92;89;92;67;3,2;1,8;
2023/01/01;0800 UTC;0;906;906,1;905,7;;16,3;15,2;16,9;16,2;15,7;15;94;91;93;51;3;1,9;
2023/01/01;0900 UTC;0;906,2;906,2;906;26,8;16,5;15,1;16,7;16,3;15,5;15,1;93;91;92;48;5,2;2,3;
