REGIAO:;SE
UF:;MG
ESTACAO:;NOVA PORTEIRINHA (JANAUBA)
CODIGO (WMO):;A563
LATITUDE:;-15,80277777
LONGITUDE:;-43,29694444
ALTITUDE:;532
DATA DE FUNDACAO:;19/11/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2023/01/01;0200 UTC;0;954,4;954,4;954,1;;25;19,2;25,7;25;19,2;18,9;70;66;70;;;;
2023/01/01;0300 UTC;0;954,1;954,5;954,1;;23,7;19,1;25,3;23,7;19,2;18,7;76;68;76;;;;
2023/01/01;0400 UTC;0;953,6;954,1;953,6;;22,1;19,6;23,7;21,9;19,6;19;87;75;86;;;;
2023/01/01;0500 UTC;0;953,4;953,6;953,4;;21;19,7;22,1;21;20,3;19,4;94;85;92;;;;
2023/01/01;0600 UTC;0;953,4;953,5;953,3;;20,4;20;21;20,4;20,2;19,5;99;91;98;;;;
2023/01/01;0700 UTC;0;953,4;953,4;953,3;;19,5;19,5;20,5;19,5;20;19,5;100;97;100;;;;
2023/01/01;0800 UTC;0;953,6;953,6;953,3;;20,6;19,6;20,6;19,4;20,1;19,4;100;94;94;;;;
2023/01/01;0900 UTC;0;954,1;954,1;953,6;62;20,9;20,1;21,1;20,6;20,1;19,3;97;90;95;;;;
2023/01/01;1000 UTC;0;954,8;954,8;954,1;622,9;24,3;19,7;24,3;20,9;20,5;18,6;97;73;75;;;;
2023/01/01;1100 UTC;0;955,1;955,1;954,8;1582;25,6;18,6;25,7;24,2;19,8;17,6;75;62;65;;;;
2023/01/01;1200 UTC;0;955,3;955,3;955,1;1947,1;26,4;17,8;26,4;24,9;19,2;17,8;68;59;59;;;;
2023/01/01;1300 UTC;0;955,1;955,4;955,1;3014,2;27,6;18,5;28,5;26;19,8;17,5;63;55;58;;;;
2023/01/01;1400 UTC;0;954,6;955,1;954,6;3941,1;28,6;19;29,1;27,6;19,9;17,9;61;51;56;;;;
2023/01/01;1500 UTC;0;954;954,6;954;3078,9;28,9;18,4;29,7;28,4;19,9;17,8;56;51;53;;;;
2023/01/01;1600 UTC;0;953,4;954;953,4;3424,3;30,6;19,5;30,7;28,5;19,7;17,8;56;47;52;;;;
2023/01/01;1700 UTC;0;952,5;953,3;952,5;2339,7;30,3;19,3;31,2;29,4;20,1;17,4;55;47;52;;;;
2023/01/01;1800 UTC;0;951,5;952,5;951,5;3129;32,1;18,8;32,2;30,3;19,8;17,6;52;44;45;;;;
2023/01/01;1900 UTC;0;951,1;951,5;951;2174,9;30,3;19,7;32,5;30,3;19,7;17,5;53;42;53;;;;
