REGIAO:;NE
UF:;AL
ESTACAO:;MACEIO
CODIGO (WMO):;A303
LATITUDE:;-9,55111111
LONGITUDE:;-35,77027777
ALTITUDE:;84,12
DATA DE FUNDACAO:;25/02/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;1005,9;1006;1005,8;;25,5;24;25,5;25,2;24;23,4;91;89;91;109;2,5;1,1;
2023/01/01;0100 UTC;4,8;1006,1;1006,4;1005,9;;23,6;23,3;25,6;23,6;24,2;23,1;98;90;98;29;8,6;,9;
2023/01/01;0200 UTC;0;1005,5;1006,1;1005,5;;23,4;23,1;23,7;23,3;23,4;23;98;98;98;119;1,7;,3;
2023/01/01;0300 UTC;0;1004,5;1005,5;1004,5;;23,4;23,3;23,6;23,3;23,3;23;99;98;99;90;,9;,2;
2023/01/01;0400 UTC;0;1003,8;1004,5;1003,8;;23,3;23,2;23,6;23,3;23,4;23,2;99;99;99;238;1,4;,7;
2023/01/01;0500 UTC;0;1003,3;1003,8;1003,3;;22,7;22,6;23,3;22,6;23,1;22,5;99;99;99;255;1,8;,5;
2023/01/01;0600 UTC;0;1003,1;1003,3;1003;;23,1;23;23,1;22,6;23;22,5;100;99;100;316;2,7;1,7;
2023/01/01;0700 UTC;3,4;1003,2;1003,4;1003,1;;23,1;23;23,2;23;23,2;22,8;100;99;100;329;3,6;1,3;
2023/01/01;0800 UTC;1,6;1004,1;1004,1;1003,1;;23,2;23,2;23,2;23;23,2;23;100;100;100;55;2,9;1,1;
2023/01/01;0900 UTC;2,6;1004,2;1004,2;1003,9;142,9;23,3;23,2;23,4;22,9;23,4;22,9;100;99;99;14;3,3;,5;
2023/01/01;1000 UTC;0;1004,6;1004,7;1004,2;898,8;24,5;22,1;24,7;23;23,9;22,1;100;86;87;44;1,9;,9;
2023/01/01;1100 UTC;0;1005,1;1005,1;1004,6;1718,2;26;22;26,4;24,5;23;21,6;87;77;78;71;4;1,6;
2023/01/01;1200 UTC;0;1005;1005,3;1005;1715,9;26,8;23,1;27,1;26;23,4;22,2;82;76;80;134;4,9;2,7;
2023/01/01;1300 UTC;0;1004,8;1005;1004,7;2527,4;27,4;23,4;28,1;26,7;23,7;22,5;82;72;79;133;5,3;2,9;
2023/01/01;1400 UTC;0;1004,3;1004,8;1004,3;3230,7;28,2;23,5;29,3;27,2;24,2;22,6;81;68;76;157;7,6;3;
2023/01/01;1500 UTC;0;1003,3;1004,3;1003,3;3397,1;30,5;22,7;30,5;28;23,6;22;77;62;63;117;7,9;3,4;
2023/01/01;1600 UTC;0;1002,7;1003,3;1002,7;3540,1;29,9;23,1;30,5;29,4;23,7;22,1;70;62;67;109;8,4;4,5;
2023/01/01;1700 UTC;0;1002,6;1003,1;1002,6;1388,7;26;22,8;30,2;26;24,4;22,8;89;66;83;100;9,5;5,2;
2023/01/01;1800 UTC;0;1002,7;1002,7;1002,5;480,9;25,8;23,3;26;25,3;23,6;22,5;89;82;86;83;9,5;4;
2023/01/01;1900 UTC;,4;1002,8;1002,9;1002,7;408;24,6;23,1;26;24,6;23,5;22,7;91;83;91;92;8,4;4,5;
2023/01/01;2000 UTC;1,8;1003,6;1003,6;1002,8;138,8;24,4;23,8;24,8;24,3;23,8;23,2;97;91;96;74;8,8;3,8;
2023/01/01;2100 UTC;0;1003,7;1003,7;1003,6;66,3;23,3;21,9;24,4;23,3;23,7;21,9;96;92;92;53;7,3;3,3;
2023/01/01;2200 UTC;0;1004,2;1004,3;1003,7;;23,4;22,2;23,5;23,3;22,5;21,7;94;91;93;8;4,7;1,6;
2023/01/01;2300 UTC;0;1005,3;1005,3;1004,2;;23,6;22,4;23,6;23,4;22,4;22,2;94;93;93;297;2,9;,7;
2023/01/02;0000 UTC;0;1005,7;1005,9;1005,3;;23,6;22,6;24;23,6;23,1;22,3;95;93;94;23;2;1,1;
2023/01/02;0100 UTC;0;1005,1;1005,8;1005,1;;23,6;22,9;23,6;23,5;22,9;22,5;96;94;96;3;2,4;1,3;
2023/01/02;0200 UTC;0;1004,9;1005,3;1004,9;;23,7;23,2;23,8;23,5;23,3;22,9;97;96;97;34;2,8;,9;
2023/01/02;0300 UTC;0;1004,3;1004,9;1004,3;;23,7;23,3;23,7;23,6;23,3;23,1;98;97;98;233;3,4;,5;
2023/01/02;0400 UTC;1,2;1004;1004,4;1004;;22,8;22,5;23,9;22,8;23,6;22,4;98;96;98;65;5,9;2,5;
2023/01/02;0500 UTC;2,6;1003,5;1004;1003,4;;22,6;22,5;22,9;22,4;22,6;22,2;99;98;99;153;4,5;,5;
2023/01/02;0600 UTC;,4;1003,3;1003,5;1003,3;;22,7;22,6;22,8;22,6;22,6;22,4;99;99;99;292;2,1;,7;
2023/01/02;0700 UTC;0;1003;1003,3;1003;;22,7;22,6;22,8;22,6;22,7;22,5;99;99;99;306;1,8;,8;
2023/01/02;0800 UTC;0;1003,2;1003,2;1002,8;;22,8;22,7;22,8;22,7;22,7;22,6;100;99;100;300;1,8;,9;
2023/01/02;0900 UTC;0;1004,5;1004,5;1003,2;152,8;22,9;22,8;23;22,7;23;22,7;100;99;99;314;3;1,5;
2023/01/02;1000 UTC;0;1004,9;1004,9;1004,5;449,2;24;23,6;24;22,9;23,6;22,8;100;97;98;21;3;1,2;
2023/01/02;1100 UTC;,2;1005,4;1005,4;1004,8;881,1;24,7;22,8;24,8;24;23,8;22,6;98;89;89;32;3,5;1,2;
2023/01/02;1200 UTC;0;1005,6;1005,7;1005,4;1444,8;26;23,3;26;24,6;23,4;22,5;90;84;85;47;3,5;1,7;
2023/01/02;1300 UTC;0;1005,3;1005,6;1005,3;2824,4;28,8;22;28,8;26;23,7;21,4;86;66;67;64;7,9;4,9;
2023/01/02;1400 UTC;0;1004,7;1005,3;1004,7;3677,8;30,1;20,6;30,2;28,7;22,9;20,6;70;56;57;60;8,8;4,8;
2023/01/02;1500 UTC;0;1003,8;1004,7;1003,8;2768,8;29,8;21,9;30,5;29;22,4;20;66;57;63;77;8;5,1;
2023/01/02;1600 UTC;0;1003;1003,8;1003;3081,1;30,4;20,5;31;29,3;22,8;20;64;54;56;62;9,7;5,8;
2023/01/02;1700 UTC;0;1002;1003;1002;2998;30,5;21,7;30,6;29,9;21,7;18,6;60;49;60;69;9;5,1;
2023/01/02;1800 UTC;0;1001,4;1002;1001,4;2332,5;29,1;21,6;30,8;29,1;22,4;20,6;65;56;64;58;10,3;5,8;
2023/01/02;1900 UTC;0;1001,7;1001,7;1001,4;1626,9;27,9;21,6;29,6;27,9;22,4;20,9;70;62;69;65;10,3;5,2;
2023/01/02;2000 UTC;0;1002,3;1002,3;1001,7;366,3;27,1;22,3;28,1;27,1;22,3;21,3;75;68;75;70;8,1;4,1;
2023/01/02;2100 UTC;0;1002,7;1002,7;1002,3;57,3;25,9;22,8;27,1;25,9;22,8;22;83;74;83;64;6,9;2,9;
2023/01/02;2200 UTC;0;1003,5;1003,5;1002,7;;25,2;22,8;25,9;25,2;22,9;22,7;87;83;87;52;5,4;2,8;
2023/01/02;2300 UTC;0;1004,3;1004,3;1003,5;;24,5;23,1;25,2;24,5;23,1;22,8;92;87;92;37;4,1;1,7;
2023/01/03;0000 UTC;0;1004,7;1004,7;1004,3;;24,1;23;24,5;24,1;23,1;22,9;94;92;94;36;2,5;1;
2023/01/03;0100 UTC;0;1004,6;1004,8;1004,6;;24,2;23;24,2;24;23,1;22,9;94;93;93;347;1,9;1,2;
2023/01/03;0200 UTC;0;1004,4;1004,7;1004,4;;24,2;23,1;24,3;24;23,3;22,9;94;93;94;332;1,9;,8;
2023/01/03;0300 UTC;0;1003,5;1004,4;1003,5;;24;23,3;24,2;23,9;23,3;23;96;94;96;6;2,3;,9;
2023/01/03;0400 UTC;,2;1002,8;1003,5;1002,8;;24;23,3;24,2;23,9;23,5;23,2;96;95;96;9;3,7;1,7;
2023/01/03;0500 UTC;0;1002,5;1002,8;1002,5;;23,8;23,5;24;23,7;23,5;23,2;98;96;98;39;3,1;1,7;
2023/01/03;0600 UTC;0;1002,8;1002,8;1002,5;;23,5;23,2;23,8;23,3;23,4;23;98;98;98;358;2,8;,7;
2023/01/03;0700 UTC;0;1002,8;1002,9;1002,7;;22,9;22,6;23,5;22,9;23,2;22,6;99;98;99;27;1,4;1;
2023/01/03;0800 UTC;0;1003,3;1003,3;1002,8;;23,1;23;23,2;22,8;23,1;22,6;100;99;99;8;1,5;,6;
2023/01/03;0900 UTC;,2;1004,2;1004,2;1003,3;130;23,8;23,7;23,8;23;23,7;22,9;100;99;100;11;1,6;,8;
2023/01/03;1000 UTC;0;1004,9;1004,9;1004,2;766,4;25,2;23,8;25,2;23,8;24,4;23,5;100;92;92;36;4,2;2,6;
2023/01/03;1100 UTC;0;1005;1005;1004,9;1757,2;27;22,8;27,1;25,2;24;22,6;92;77;78;40;7,5;4,3;
