REGIAO:;S
UF:;RS
ESTACAO:;CAMBARA DO SUL
CODIGO (WMO):;A897
LATITUDE:;-29,04916666
LONGITUDE:;-50,14972221
ALTITUDE:;1017
DATA DE FUNDACAO:;24/11/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;902,2;902,2;901,9;;18,8;12,5;20,8;18,8;13,1;11,6;70;56;67;83;4,5;1;
2023/01/01;0100 UTC;0;902,5;902,5;902,2;;18,8;12;19,9;18,2;12,7;11,5;70;59;65;56;3,4;1,7;
2023/01/01;0200 UTC;0;902,4;902,7;902,4;;18,6;12;19,1;18,6;12,1;11,9;66;63;65;80;3,3;1,2;
2023/01/01;0300 UTC;0;902;902,5;902;;18,1;12,3;19;18,1;12,3;11,9;69;64;69;53;3,7;2,1;
2023/01/01;0400 UTC;0;901,5;902;901,5;;17,4;12;18,2;17,3;12,5;11,9;71;68;71;41;4;1,6;
2023/01/01;0500 UTC;0;901,2;901,5;901,2;;17,4;11;17,6;17,3;12;11;71;66;66;46;3,8;2,1;
2023/01/01;0600 UTC;0;901,3;901,3;901,1;;15,3;11,4;17,5;15,3;11,5;10,8;78;66;78;356;3,1;,6;
2023/01/01;0700 UTC;0;901,4;901,5;901,3;;15,2;10,9;15,9;14,1;11,8;10,9;85;73;75;38;3,6;1,7;
2023/01/01;0800 UTC;0;901,9;901,9;901,4;;15,6;11,3;15,7;15,2;11,3;11;77;74;76;27;2,5;1,9;
2023/01/01;0900 UTC;0;902,4;902,4;901,9;40;16,3;12,7;16,3;15,6;12,7;11,3;81;75;79;21;2,5;1,6;
2023/01/01;1000 UTC;0;902,8;902,8;902,4;595,3;18,3;13,2;18,4;16,3;13,5;12,7;79;72;72;11;2,6;1,3;
2023/01/01;1100 UTC;0;902,9;902,9;902,7;1450,1;21,3;15,3;21,3;18,2;15,3;13;74;66;69;360;3,7;2,3;
2023/01/01;1200 UTC;0;903;903;902,9;2283,8;23,9;14,1;24;21,3;15,4;13,8;69;54;54;297;4,9;2,2;
2023/01/01;1300 UTC;0;902,8;903,2;902,8;3010,5;25,6;15,6;25,8;23,9;16,4;13,6;62;51;54;284;4,5;2,8;
2023/01/01;1400 UTC;0;902,4;902,8;902,4;3553,5;26,5;14,3;27;25,4;16,2;13,1;54;43;47;283;5,7;3;
2023/01/01;1500 UTC;0;901,7;902,4;901,7;4038,3;28,5;11,7;28,5;26,3;15,9;11,4;52;35;35;207;5,3;2,5;
2023/01/01;1600 UTC;0;901,1;901,7;901,1;3713,7;28,7;17,2;28,9;27,2;17,4;10;51;33;50;92;6,5;3,1;
