REGIAO:;N
UF:;TO
ESTACAO:;COLINAS DO TOCANTINS
CODIGO (WMO):;A049
LATITUDE:;-8,092708
LONGITUDE:;-48,478605
ALTITUDE:;200
DATA DE FUNDACAO:;11/11/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;986,3;986,3;985,5;;;24,7;;;25,2;24,7;100;100;100;187;1,9;,8;
2023/01/01;0100 UTC;0;986,7;986,7;986,2;;;24,4;;;24,7;24,4;100;100;100;350;2,4;,4;
2023/01/01;0200 UTC;0;986,6;986,8;986,6;;;24,2;;;24,4;24,1;100;100;100;291;1,9;,9;
2023/01/01;0300 UTC;0;986,6;986,8;986,4;;;23,6;;;24,3;23,6;100;100;100;44;1,6;1;
2023/01/01;0400 UTC;0;986,3;986,6;986,3;;;23,7;;;23,9;23,6;100;100;100;253;1,6;,9;
2023/01/01;0500 UTC;0;985,7;986,3;985,7;;;24;;;24;23,7;100;100;100;29;1,6;,7;
2023/01/01;0600 UTC;0;985,8;985,8;985,5;;;23,6;;;24;23,6;100;100;100;93;2;,5;
2023/01/01;0700 UTC;1,6;985,6;985,9;985,4;;;23,5;;;23,8;23,5;100;100;100;122;2,7;,8;
2023/01/01;0800 UTC;,2;985,9;986;985,6;;;23,7;;;23,7;23,5;100;100;100;271;1,3;,8;
2023/01/01;0900 UTC;0;986,2;986,2;985,9;2,7;;23,6;;;23,7;23,6;100;100;100;226;3,9;1,9;
2023/01/01;1000 UTC;0;987;987;986,2;135,8;;23,2;;;23,6;22,6;100;97;100;213;4,1;1;
2023/01/01;1100 UTC;0;987,7;987,7;987;767,4;;22;;;23,5;21,6;100;81;85;201;3,2;1,1;
2023/01/01;1200 UTC;0;988,2;988,2;987,7;1513,1;;22,8;;;24;21,7;88;78;82;218;3,5;1,7;
2023/01/01;1300 UTC;0;988,2;988,4;988,2;2254;;23,3;;;24;22,5;85;74;77;205;5,1;1,7;
2023/01/01;1400 UTC;0;987,5;988,2;987,5;2996,6;;23;;;24,6;22,5;79;68;68;180;4;1,3;
2023/01/01;1500 UTC;0;986,6;987,5;986,6;3484,3;;23,8;;;24,5;22,7;73;64;65;313;3,9;1;
2023/01/01;1600 UTC;0;985,4;986,6;985,4;3640,1;;23;;;24;22,2;67;57;59;188;4,3;1,7;
2023/01/01;1700 UTC;0;984,6;985,4;984,6;3015,5;;22,4;;;23,8;21,6;63;53;56;128;5,7;2,4;
2023/01/01;1800 UTC;0;983,4;984,6;983,4;3066,9;;22;;;23,7;21,1;57;49;53;134;5,4;2;
2023/01/01;1900 UTC;0;982,7;983,4;982,6;2394,8;;20,3;;;22,4;20,1;54;47;47;123;4,8;1,7;
2023/01/01;2000 UTC;0;982,7;982,8;982,5;1697,5;;22,7;;;22,8;20,6;62;47;61;101;8,7;4;
2023/01/01;2100 UTC;0;983,5;983,5;982,7;658,3;;22,6;;;23,3;21,8;72;61;72;156;8,7;1,9;
