REGIAO:;SE
UF:;SP
ESTACAO:;ARIRANHA
CODIGO (WMO):;A736
LATITUDE:;-21,13305554
LONGITUDE:;-48,84055555
ALTITUDE:;525,44
DATA DE FUNDACAO:;13/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;0;954,7;954,7;954,1;;22,6;20,6;23;22,4;21;20,2;89;87;89;61;1,1;0;
2023/01/01;0100 UTC;0;954,8;954,9;954,6;;22,2;20,3;22,9;22,2;20,9;20,2;89;88;89;197;1,2;0;
2023/01/01;0200 UTC;0;954,9;955,1;954,8;;22,2;20,1;22,5;22;20,6;20;89;88;88;34;2,1;,6;
2023/01/01;0300 UTC;0;954,4;954,9;954,3;;21,7;19,7;22,1;21,6;20,1;19,5;89;88;88;7;2;,7;
2023/01/01;0400 UTC;0;953,7;954,4;953,7;;21,3;19,2;21,8;21,3;19,8;19,2;88;88;88;24;2,2;,7;
2023/01/01;0500 UTC;0;953,4;953,8;953,4;;21,3;19,2;21,7;21,2;19,6;19,2;88;88;88;323;2,3;,1;
2023/01/01;0600 UTC;0;952,9;953,4;952,9;;21;19;21,4;21;19,4;18,9;88;88;88;332;1;0;
2023/01/01;0700 UTC;0;953,2;953,2;952,8;;20,6;18,7;21,2;20,5;19,2;18,5;89;88;89;4;0;0;
2023/01/01;0800 UTC;0;953,4;953,4;953,1;;20,1;18,3;20,6;20,1;18,7;18,3;89;89;89;34;1,9;1;
2023/01/01;0900 UTC;0;953,9;953,9;953,4;16,5;20,4;18,6;20,4;20,1;18,6;18,3;90;89;89;25;1,8;,4;
2023/01/01;1000 UTC;0;954,6;954,6;953,9;302,7;22,2;19,8;22,2;20,4;19,9;18,6;89;86;86;1;3;1,5;
2023/01/01;1100 UTC;0;954,9;955;954,6;1215,7;24,2;19,5;24,2;22,2;20;19,3;86;75;75;359;5,2;3,5;
2023/01/01;1200 UTC;0;955,2;955,2;954,9;2077;25,7;19;25,9;24,2;20,2;18,8;76;66;66;356;5,8;4;
2023/01/01;1300 UTC;0;955,1;955,2;955,1;2835,2;27,6;19;28;25,7;20,1;18,7;67;59;59;329;6;2,2;
2023/01/01;1400 UTC;0;954,8;955,1;954,8;3449,5;28,6;19,2;29;27,2;20;18,4;62;55;57;344;6,1;2,9;
2023/01/01;1500 UTC;0;954,2;954,8;954,2;3804;29,1;18,3;29,6;28,5;20;17,4;58;49;52;336;6,3;2,6;
2023/01/01;1600 UTC;0;953,4;954,2;953,4;2990,6;29,5;18,3;30,8;28,7;19,5;17,5;54;47;51;326;5,9;1,1;
2023/01/01;1700 UTC;0;952,3;953,4;952,3;3713,9;30,9;17,3;31,1;29,5;19,8;16,5;55;44;44;333;4,8;2,2;
2023/01/01;1800 UTC;0;951,4;952,3;951,3;1833,1;30,7;17,7;31,3;30,4;19,3;16,9;50;44;46;327;4,6;1;
2023/01/01;1900 UTC;0;951,3;951,5;951,2;1105,2;29,7;19,5;30,9;29,6;19,5;17,6;55;45;55;140;3;,6;
2023/01/01;2000 UTC;0;950,5;951,3;950,5;423,1;28,8;21,8;29,7;28,7;21,8;19,3;66;54;66;177;1,5;,9;
2023/01/01;2100 UTC;0;950,4;950,5;950,2;1012,9;30,4;19,1;31,5;28,8;21,9;17,7;66;45;51;118;2,9;1,1;
2023/01/01;2200 UTC;0;950,5;950,7;950,4;256,4;27,3;20,2;30,5;27,3;20,5;18,6;66;50;65;129;2,5;1,2;
2023/01/01;2300 UTC;0;951,5;951,5;950,3;;24,3;20,4;27,3;24,3;20,7;19,6;79;64;79;70;2,4;,9;
2023/01/02;0000 UTC;0;952,7;952,7;951,5;;23,9;20,8;24,5;23,5;20,8;20,2;83;79;83;72;3,2;1,5;
2023/01/02;0100 UTC;0;953,6;953,6;952,7;;24,1;19,5;24,9;23,9;21;19,5;83;74;76;26;4,8;1,6;
2023/01/02;0200 UTC;0;953,3;953,6;952,9;;22,8;18,8;24,1;22,7;19,5;18,6;79;74;78;27;4,4;,1;
2023/01/02;0300 UTC;0;952,7;953,6;952,7;;22,8;18,8;23,1;22,7;18,9;18,6;79;77;78;317;3,2;,4;
2023/01/02;0400 UTC;0;952,4;952,7;952,4;;21,3;18,6;22,8;21,2;18,9;18,5;85;78;85;14;3,7;,5;
2023/01/02;0500 UTC;0;952,1;952,4;952,1;;21,3;18,9;21,6;21,2;19;18,6;87;85;87;28;1,3;,9;
2023/01/02;0600 UTC;0;952;952,2;951,9;;21,2;18,7;21,5;21,2;19,1;18,6;87;85;85;17;3,3;2;
2023/01/02;0700 UTC;0;951,7;952;951,6;;21,3;18,6;21,6;21,2;19;18,5;86;85;85;358;3,3;1,3;
2023/01/02;0800 UTC;0;952,1;952,1;951,6;;21,5;18;21,6;21,3;18,8;18;85;80;80;336;4,2;2,3;
2023/01/02;0900 UTC;0;952,9;952,9;952,1;4,8;20,8;17,8;21,5;20,8;18;17,7;83;80;83;344;4,3;1,7;
2023/01/02;1000 UTC;0;953,3;953,3;952,9;203,9;21,4;18;21,4;20,5;18,1;17,7;84;81;81;341;3,4;1,9;
2023/01/02;1100 UTC;0;953,4;953,5;953,3;1114;24;18,2;24;21,4;18,8;18;81;70;70;349;5,3;3,2;
2023/01/02;1200 UTC;0;953,6;953,8;953,3;1816,9;24,9;18,6;25,6;23,9;19,4;18,1;71;66;68;350;5,7;3,8;
2023/01/02;1300 UTC;0;953,5;953,8;953,5;2144,1;27,3;19,1;27,6;24,9;20;18,6;69;61;61;314;7,3;3,3;
2023/01/02;1400 UTC;0;952,8;953,5;952,8;3395,1;28,8;19,9;28,9;27;20,8;19,1;65;57;59;317;7,6;3,7;
2023/01/02;1500 UTC;0;951,7;952,8;951,7;3416,2;29,5;19,1;30;28,6;20,5;18,8;59;54;54;304;7,9;4;
2023/01/02;1600 UTC;0;950,3;951,7;950,3;3424,4;30,2;19,7;30,4;29;20,1;18,9;57;51;54;318;7,9;2,8;
2023/01/02;1700 UTC;0;949;950,3;949;3561,7;30,9;18,9;31,2;30,1;20,3;18,1;54;47;49;295;6,3;3,2;
2023/01/02;1800 UTC;0;948,4;949;948,4;3094,5;31;18;31,6;30,7;19,3;17,3;49;44;46;307;5,8;3;
2023/01/02;1900 UTC;0;946,9;948,4;946,9;2128;31,5;18;32;30,7;18,9;17,4;48;43;45;337;6,1;3,2;
2023/01/02;2000 UTC;0;947,5;947,5;946,9;690,9;29,4;19,9;31,5;29,3;20,1;17,7;57;44;57;282;7,5;3,1;
2023/01/02;2100 UTC;0;948,6;948,7;947,5;295,8;28,3;19,8;29,4;28,3;20,1;19,1;60;55;60;276;9,2;3,3;
2023/01/02;2200 UTC;0;949,2;949,4;948,3;93,2;22,9;17;28,3;22,9;19,9;16,8;71;55;70;188;10,9;3,7;
2023/01/02;2300 UTC;0;951,4;951,4;949,1;;21;17,9;22,9;21;17,9;16,9;82;70;82;141;9,4;3,3;
2023/01/03;0000 UTC;,6;952,1;952,4;951,4;;20,5;17,8;21,2;20,5;18,1;17,6;85;80;85;180;7,6;2,2;
2023/01/03;0100 UTC;,6;950,5;952,1;950,5;;20,3;18;20,5;20,2;18,2;17,8;87;85;87;158;5;2,3;
2023/01/03;0200 UTC;0;951,9;951,9;950,5;;20,5;18,2;21;20,2;18,6;18;88;85;87;76;3,9;1,9;
2023/01/03;0300 UTC;,2;950,1;951,9;950,1;;20,4;18,3;20,9;20,4;18,7;18,2;87;86;87;61;3;1,1;
2023/01/03;0400 UTC;0;949,7;950,1;949,5;;20,5;18,3;20,6;20,3;18,6;18,2;88;87;87;321;3,7;1,5;
2023/01/03;0500 UTC;0;949,7;949,7;949,3;;20,1;18;20,5;20,1;18,4;18;88;87;87;286;3,4;1,7;
2023/01/03;0600 UTC;0;949,2;949,7;949,2;;20,3;18,1;20,3;20,1;18,1;17,9;88;87;87;338;3,6;2,3;
2023/01/03;0700 UTC;0;949,6;949,6;949,2;;20,5;18,2;20,5;20,2;18,3;18,1;88;87;87;316;3,8;,8;
2023/01/03;0800 UTC;0;950,2;950,2;949,6;;20,6;18,4;20,7;20,4;18,5;18,2;87;87;87;304;2,9;1,6;
2023/01/03;0900 UTC;0;951,2;951,2;950,2;1,5;20,7;18,5;20,8;20,4;18,6;18,3;88;87;87;296;2,9;1,1;
2023/01/03;1000 UTC;0;951,4;951,4;951,1;124,7;21,1;18,9;21,1;20,7;18,9;18,5;88;87;87;298;3,2;1,2;
2023/01/03;1100 UTC;0;952;952;951,4;569;21,9;19,2;22,1;21,1;19,6;18,9;87;84;85;309;3,5;1,9;
